date,distances,pph,reports,type
200503040000,7.694384002956774,1.0000000000000002,1,Hail
200503150000,20.023043636006275,1.0,1,Hail
200503160000,14.62856681585848,1.0,1,Hail
200503160000,10.469459650749531,1.0,1,Thunderstorm Wind
200503190000,18.03702293002123,1.0,1,Tornado
200503230000,14.511942616215915,1.0,1,Thunderstorm Wind
200503240000,22.96051464864003,1.0,1,Thunderstorm Wind
200503280000,27.58669197811567,1.0,0,Thunderstorm Wind
200503290000,17.414195054042914,1.0,1,Tornado
200504010000,24.766494904776025,1.0,1,Hail
200504070000,22.017993904354658,1.0,1,Tornado
200504150000,27.0331122769472,1.0,0,Tornado
200504160000,21.568811082826837,1.0,1,Tornado
200504240000,18.932618466587584,1.0,1,Tornado
200504240000,23.07879090438326,1.0,1,Hail
200504260000,19.162357622183436,1.0,1,Tornado
200504270000,18.42339950986034,1.0,1,Tornado
200505030000,19.346854316169875,1.0,1,Tornado
200505040000,23.821560383419218,1.0,1,Thunderstorm Wind
200505160000,18.479882159958816,1.0,1,Hail
200505210000,27.560863724906348,1.0000000000000002,0,Tornado
200505230000,21.241375798223025,1.0,1,Tornado
200505250000,17.832218751573798,1.0,1,Tornado
200505260000,16.89086996950374,1.0,1,Tornado
200506210000,20.498235837318806,1.0,1,Tornado
200507010000,4.520965338213105,1.0,1,Tornado
200507040000,5.331469779202983,0.0,1,Tornado
200507220000,12.95269323319492,1.0,1,Tornado
200507230000,16.440549439369697,1.0000000000000002,1,Tornado
200507240000,12.268020001131966,1.0,1,Tornado
200507280000,26.95219196045156,1.0,0,Tornado
200507290000,10.758014904651889,1.0,1,Tornado
200507290000,22.98142397469016,1.0,1,Hail
200507310000,21.147546504206346,1.0,1,Tornado
200508030000,11.96174828476268,1.0,1,Tornado
200508150000,10.261371292984927,1.0000000000000002,1,Tornado
200508200000,17.970266735675157,1.0,1,Tornado
200508200000,5.322171085651355,1.0,1,Hail
200508270000,18.906314525564643,1.0,1,Tornado
200508310000,6.8279875025444925,1.0,1,Hail
200509010000,3.543992779386491,1.0,1,Thunderstorm Wind
200509020000,16.179342504673034,1.0,1,Tornado
200509060000,13.225440862876702,1.0000000000000002,1,Tornado
200509080000,17.877715001414604,1.0,1,Tornado
200509140000,33.94122045457204,1.0,0,Tornado
200509150000,24.896911326692695,1.0,1,Tornado
200509180000,22.72512776510334,1.0,1,Tornado
200509230000,22.411484575572924,1.0,1,Hail
200509250000,22.63874897022045,1.0,1,Hail
200509270000,30.799243269648816,1.0,0,Tornado
200509280000,17.39116394300804,1.0,1,Tornado
